Category,Sub Category,Vehicle Make,Model,Type,Part,Size,Brand,Item
BANCO,GASKETS,MAHINDRA TRACTOR,"575 DI MILLOR TYPE",BHR,FULL GASKET,"",BANCO,"56583799PSBHR"
KSPG,CONNECTING BUSH,MARUTI,"800 (CAR)","800 (CAR)","",STD,KSPG,PS.110.5.00.003
BANCO,GASKETS,HINDUSTAN MOTORS,G 453,BANKITE,HEAD GASKET,"",BANCO,"5641250003BKT"
SETCO,COVER ASSY,ASHOK LEYLAND,"15INCHES 1.75SPLINES","","","",SETCO,"380-8062-9031R"
BANCO,GASKETS,TATA,"1210",RC,DIFFERENTIAL COVER,"",BANCO,"5220644005RC"
KSPG,CONNECTING BEARING,MAHINDRA,MDI 3200,MDI 3200,"","20",KSPG,B.332.3.00.023
BANCO,GASKETS,MAHINDRA,XDP 3,BHR,HEAD GASKET,"",BANCO,"55803900PSBHR"
TALBROS QHT,DRAG LINK,TATA,"1516/2213/3516",REPAIR KIT (BOTH 35DIA),"","",TALBROS QHT,DRK01008
KAR VALVES,VALVE,TATA,"407","407","",STD,KAR VALVES,KV1305-306A
SPICER,DIFFERENTIAL,ASHOK LEYLAND,RETAINER BEARING,"","","",SPICER,SABR2149RW
KSPG,CONNECTING BEARING,SIMPSON,S4,S4,"","10",KSPG,B.231.3.00.013
BANCO,GASKETS,MASSEY FERGUSON,MF 135,HLT,DISTRIBUTOR PUMP GASKET,"",BANCO,"5124227100HLT"
RBL,BRAKE LINING,MAHINDRA,B275,B275,"242",Jan-32,RBL,J40/0871/ 1/32 242
BANCO,GASKETS,ASHOK LEYLAND,"370/411/412 BS II",HLT,WATER PUMP SET,"",BANCO,"5360644501HLT"
IPL,VALVE,TATA,"407/609","407/609 NON TURBO","",STD,IPL,"712-VT09711/4"
TIGER POWER,CYLINDER LINER,BAJAJ,DIESEL,SEMI FINISHED,BS3,STD,TIGER POWER,K2000800660
RBL,BRAKE LINING,ASHOK LEYLAND,"5 INCHES",FRONT 10 HOLES,HF7,STD,RBL,AL/TP/SM/1&2 STD HF7
TALBROS,GASKETS,TATA,"407",FULL GASKET,DYNA SEAL,"",TALBROS,FS3045DSXTCCTCS
BANCO,GASKETS,TATA,"1612",PAP,GEAR BOX KIT,"",BANCO,"5220659600PAP"
KSPG,CONNECTING BEARING,MARUTI,ASTAR/ZEN ESTILO/ALTO K10,ASTAR/ZEN ESTILO/ALTO K10,"","20",KSPG,B.165.0.00.023
BANCO,GASKETS,MARUTI,CAR/VAN,RC,CHAMBER PACKING,"",BANCO,"5231111000RC"
KSPG,MAIN BEARING,MAHINDRA,HAWK,HAWK,"",STD,KSPG,M.274.3.00.003
KAR VALVES,VALVE,TATA,INDICA,DICOR 1.4,"",STD,KAR VALVES,KV1121-122
KAR VALVES,VALVE,FORCE MOTORS,TEMPO TRAVELLER,TEMPO TRAVELLER,"",STD,KAR VALVES,KV1447-458
KAR VALVES,VALVE,GREAVES,APE,BS II,"",STD,KAR VALVES,KV1759-760
TALBROS,GASKETS,MAHINDRA,MHAWK,FULL GASKET,DYNA SEAL,"",TALBROS,FS3161WOCS
KSPG,THRUST WASHER,MAHINDRA,MDI 3200,"","",STD,KSPG,PW.332.5.00.003
KSPG,MAIN BEARING,MARUTI,ALTO,ALTO,"",STD,KSPG,M.135.0.10.003
BANCO,GASKETS,SIMPSON,S3/241,BAF,HEAD GASKET,"",BANCO,"54401800PSBAF"
KSPG,CONNECTING BEARING,ESCORT FORD,"340 (AVL)","340 (AVL)","","10",KSPG,B.318.4.00.013
BANCO,GASKETS,ASHOK LEYLAND,"370/411/412 BS II",SAL,FULL GASKET,"",BANCO,"53606499PSSAL"
TALBROS QHT,BALL SUSPENSION,ASHOK LEYLAND,DOST,UPPER,"","",TALBROS QHT,BSJ07043U
TALBROS,GASKETS,TATA,ACE,HEAD GASKET,EXCEL,"",TALBROS,"3106DSXNA3OS"
KAR VALVES,VALVE,TATA,IRIS,"","",STD,KAR VALVES,KV1473-474
TALBROS,GASKETS,MARUTI,ESTEEM,HEAD GASKET,DYNA SEAL,"",TALBROS,"3111DSX"
BANCO,GASKETS,ASHOK LEYLAND,"401/402",RC,KING PAN GASKET,"",BANCO,"5360688100RC"
TALBROS,GASKETS,TATA,"407",HEAD GASKET,DYNA SEAL,"",TALBROS,"3045DSXTC"
LEYPARTS,OILSEALS,ASHOK LEYLAND,"",INNER,HUB OILSEAL,"",LEYPARTS,F2701400
TIGER POWER,CYLINDER LINER,CHEVROLET,TAVERA,PRE FINISHED,"2C",STD,TIGER POWER,K2004100560
KSPG,CONNECTING BEARING,TOYOTA,QUALIS,QUALIS,"","10",KSPG,B.140.0.00.013
RBL,BRAKE SHOE,MARUTI,ZEN (BI TYPE),"","","",RBL,RBL/BS/004
BANCO,GASKETS,TATA,IRIS,BAF,HEAD GASKET,"",BANCO,"5220010014BAF"
RBL,BRAKE LINING,MASSEY FURSEON,MASSEY FURSEON,MASSEY FURSEON,LAC 45,STD,RBL,RBL/MF241/1 STD LAC 45
TIGER POWER,CYLINDER LINER,EICHER,CANTER,SEMI FINISHED,COLLAR,STD,TIGER POWER,K2001300160
LEYPARTS,GASKETS,ASHOK LEYLAND,"",GASKET BOTTOM COVER,GASKET BOTTOM COVER,"",LEYPARTS,F1718200
KSPG,CONNECTING BEARING,TOYOTA,INNOVA,INNOVA,"",STD,KSPG,B.746.0.00.003
KSPG,MAIN BEARING,MARUTI,SWIFT DIESEL,SWIFT DIESEL,"","10",KSPG,N.131.0.00.013
TALBROS QHT,BALL SUSPENSION,ASHOK LEYLAND,ALL MODELS (30DIA),LEFT ( NEW RANGE),"","",TALBROS QHT,BJ07007L
TALBROS,GASKETS,TATA,CUMMINS 6CT,HEAD GASKET,DYNA SEAL,"",TALBROS,"3117SBG"
KSPG,CONNECTING BEARING,TATA,"407","407","","40",KSPG,B.236.3.00.043
TIGER POWER,VALVE,BAJAJ,KUBOTA BSII & BSIII,"","",STD,TIGER POWER,V2000800160
BANCO,GASKETS,FORD TRACTOR,"3000/3600",RC,VALVE COVER,"",BANCO,"5352031510RC"
RBL,BRAKE SHOE,MARUTI,SWIFT (NEW),"","","",RBL,RBL/BS/068
TALBROS,GASKETS,TATA,"697",HEAD GASKET,DYNA SEAL,"",TALBROS,"728DSX"
KAR VALVES,VALVE,ESCORT FORD,E3.273/312,E3.273/312,"",STD,KAR VALVES,KV1673-674
KAR VALVES,VALVE,GREAVES,LOMBARDINI,"9 HP75 SERIES","",STD,KAR VALVES,KV1843-844
KAR VALVES,VALVE,FORD,ECO SPORT,ECO SPORT,"",STD,KAR VALVES,KV1165-166
KSPG,CAM BUSH,TATA,"407","407","",STD,KSPG,C.236.6.00.003
BANCO,GASKETS,TOYOTA,QUALIS,RUB,VALVE COVER,"",BANCO,"5239291500RUB"
TALBROS,GASKETS,TATA,"207",HEAD GASKET,EXCEL,"",TALBROS,"3068DSXNA3OS"
KSPG,CONNECTING BEARING,EICHER,CANTER,CANTER,"","40",KSPG,B.235.4.00.043
KSPG,MAIN BEARING,TATA,"709","709","","40",KSPG,M.254.3.00.043
BANCO,GASKETS,MARUTI,VAN,BANKITE,FULL GASKET,"",BANCO,"5231129900BKT"
TIGER POWER,CYLINDER LINER,BAJAJ,OM 616,SEMI FINISHED,MOLYGOLD,STD,TIGER POWER,K2001200168
SETCO,UJCROSS,BHARAT BENZ,"3123","","","47.68X135",SETCO,SC-2001
LEYPARTS,WHEEL BEARINGS,ASHOK LEYLAND,"",FRONT,TAPPER BEARINGS,"",LEYPARTS,F0P03610
BANCO,GASKETS,MAHINDRA,JEEP PETROL,RC,GEAR BOX KIT,"",BANCO,"5580299619RC"
TALBROS,GASKETS,MAHINDRA,"575",HEAD GASKET,DYNA SEAL,"",TALBROS,"3070DSX"
KSPG,MAIN BEARING,TATA,NANO,NANO,"",STD,KSPG,M.153.3.00.003
LEYPARTS,FILTERS,ASHOK LEYLAND,"",HINO SERIES,OIL FILTER BOWL,"",LEYPARTS,X1102713
KSPG,MAIN BUSH,TATA,IRIS/ZIP,IRIS/ZIP,"",STD,KSPG,L.420.5.00.003
BANCO,GASKETS,HYUNDAI,SANTRO,BAF,HEAD GASKET,"",BANCO,"52242100PSBAF"
RBL,DISCPAD,HYUNDAI,VERNA FRONT & I20,"","","",RBL,RBL/PDP/509
RBL,DISCPAD,MAHINDRA,SCORPIO & MHAWK,"","","",RBL,RBL/DP/048
BANCO,GASKETS,TATA,CUMMINS BS1 / BS2,PQB,UPPER SET,"",BANCO,"5220529800PQB"
KSPG,THRUST WASHER,TATA,INDICA,INDICA,"",OS2,KSPG,W.119.5.00.423
IPL,KITSET,MAHINDRA,MDI 3200,MDI 3200,"","",IPL,"622-113546192V/4-STD"
LEYPARTS,GEARBOX,ASHOK LEYLAND,"","1 & 2 , 45T (THIN)",SYNCHRO RING,"",LEYPARTS,F1624411
KSPG,MAIN BEARING,ASHOK LEYLAND,LEYLAND,LEYLAND 370,"",STD,KSPG,M.205.4.09.003
LEYPARTS,GEARBOX,ASHOK LEYLAND,"",BSIII/BSIV,INPUT SHAFT COVER,"",LEYPARTS,F5J00322
BANCO,GASKETS,MASSEY FERGUSON,MF 135,HLT,HYDRAULIC LIFTCOVER,"",BANCO,"5124237206HLT"
TALBROS,GASKETS,TATA,"1109",HALF GASKET,DYNA SEAL,"",TALBROS,HS1109SBGTCMK1
TIGER POWER,VALVE,TATA,CUMMINS BSIII,"","","5",TIGER POWER,V2005502160
LEYPARTS,ENGINE,ASHOK LEYLAND,"",TURBO,VALVE,"",LEYPARTS,P0946551
IPL,CYLINDER LINER,TATA,CUMMINS,"2OTH SF","","",IPL,"672-L3162-020"
BANCO,GASKETS,TATA,"1210",HLT,DIFFERENTIAL COVER,"",BANCO,"5220644005HLT"
IPL,PISTON RING SET,SIMPSON,P4,"5RV","","",IPL,"642-6466V/4-STD"
KSPG,MAIN BUSH,MAHINDRA,Mahindra Jeeto,"","",STD,KSPG,L.174.0.00.003
LEYPARTS,ENGINE,ASHOK LEYLAND,"",HINO ENGINES (TURBO),CON ROD BUSH KIT,"",LEYPARTS,P0997951
TALBROS,GASKETS,TATA,"207",HEAD GASKET,EXCEL,"",TALBROS,"3068DSXNA4OS"
TALBROS,TAPPET COVER,TATA,"407","","","",TALBROS,"27151DS"
KSPG,THRUST WASHER,MARUTI,ALTO,"","",STD,KSPG,W.165.3.00.003
BANCO,GASKETS,TOYOTA,INNOVA,RUB,VALVE COVER,"",BANCO,"5239321500RUB"
LEYPARTS,GEARBOX,ASHOK LEYLAND,"","20TEETH",MAIN DRIVE GEAR,"",LEYPARTS,F3319311
LEYPARTS,FILTERS,ASHOK LEYLAND,"",BSIV,WATER SEPRATOR,"",LEYPARTS,FHN00400
BANCO,GASKETS,MARUTI,CAR 800 CC,BANKITE,FULL GASKET,"",BANCO,"52311799PSBKT"
RBL,BRAKE SHOE,HYUNDAI,I10,"","","",RBL,RBL/BS/012
RBL,BRAKE LINING,TATA,"1510/1612",REAR 10 HOLES,HF7,"1MM",RBL,TT/TP/SM/2 1MM HF7
RBL,BRAKE LINING,ASHOK LEYLAND,IVECO 7 TONS,FR & RR 8 HOLES,"242",STD,RBL,AL/TP/SM/5 STD (242)
IPL,PISTON RING SET,SIMPSON,P3,"5RV","","",IPL,"642-9595V/3-STD"
TALBROS,GASKETS,HYUNDAI,I10,FULL GASKET,DYNA SEAL,"",TALBROS,FS3184WOCS
KSPG,MAIN BEARING,EICHER,CANTER,"6CYL","","40",KSPG,M.235.4.10.043
IPL,PISTON SET,MAHINDRA,PEUGEOT,XD 3P,"","",IPL,"602-12255W-STD"
BANCO,GASKETS,TATA,"709 / 1109 TURBO",BANKITE,FULL GASKET,"",BANCO,"52204999PSBKT"
BANCO,GASKETS,MARUTI,SWIFT DIESEL,MLS(STEEL),HEAD GASKET,"",BANCO,"5231160015MLS"
KSPG,CONNECTING BEARING,ASHOK LEYLAND,HINO,HINO ( EIII),"","30",KSPG,B.297.0.00.033
RBL,BRAKE LINING,ASHOK LEYLAND,"6 INCHES",FRONT 10 HOLES,HF7S,"1/32",RBL,AL/TP/SM/7&8 1/32 HF7S
TIGER POWER,CYLINDER LINER,TATA,"407",SEMI FINISHED,THIN COLLAR,"20TH",TIGER POWER,K2007000460
BANCO,GASKETS,MERCEDEZ BENZ,OM 906,STEEL,HEAD GASKET,"",BANCO,"5220960001ST"
BANCO,GASKETS,TATA,CUMMINS BS1 / BS2,AST,COVERSION SET WITH CHAMBER PACKING,"",BANCO,"5220529510AST"
BANCO,GASKETS,TATA,ACE,SAL,HEAD GASKET,"",BANCO,"5220200017SAL"
KSPG,MAIN BEARING,TATA,"1612(697)","1612(697)","","40",KSPG,M.246.3.00.043
KAR VALVES,VALVE,TATA,CUMMINS,BS II,"","",KAR VALVES,KV181920-82020
IPL,PISTON RING SET,TATA,"697","697 THIN RING ( EURO II)","","",IPL,"642-9513Q/6-STD"
BANCO,GASKETS,MASSEY FERGUSON,MF 1035,AST,CHAMBER PACKING,"",BANCO,"5124201000AST"
RBL,BRAKE SHOE,MAHINDRA,XYLO,"","","",RBL,RBL/BS/043
LEYPARTS,ENGINE,ASHOK LEYLAND,"",FLEXIBLE,OIL DRAIN PIPE,"",LEYPARTS,X1965810
BANCO,GASKETS,MARUTI,CAR,BANKITE,FULL GASKET,"",BANCO,"5231119900BKT"
BANCO,GASKETS,TATA,"709 NON TURBO",HYT,CHAMBER PACKING,"",BANCO,"5220471080HYT"
GOETZE,RING SET,ASHOK LEYLAND,HINO,"6E EURO POWER","","",GOETZE,"6135EUROPOWER-SD"
RBL,BRAKE LINING,TATA,"608","12 HOLES",RD3205M,STD,RBL,IN/19/20/2 STD RD3205M
SVL,UJ KIT,"","","","","",SVL,LU32UTT01000
SUPER PAC,GASKETS,TATA,CUMMINS BS-III,HEAD GASKET,BS-III GASKET,"",SUPER PAC,"3157DSXNA"
RBL,DISCPAD,TATA,INDICA VISTA DIESEL,"","","",RBL,RBL/PDP/501
KAR VALVES,VALVE,SWARAJ MAZDA,SWARAJ MAZDA,SWARAJ MAZDA,"",STD,KAR VALVES,KV1421-422
LEYPARTS,CLUTCH,ASHOK LEYLAND,"","14 INCHES, 4 LEVER",MAJOR KIT,"",LEYPARTS,P0941651
LEYPARTS,DRIVE LINE,ASHOK LEYLAND,"","90-SERIES (D150) 4 HOLES",FLANGE YOKE,"",LEYPARTS,P4503232
KAR VALVES,VALVE,ESCORT FORD,"312 D","312 D","",STD,KAR VALVES,KV1621-622
LEYPARTS,CLUTCH,ASHOK LEYLAND,"",BSIV,FLYWHEEL ASSY,"",LEYPARTS,B3F12201(18%)
BANCO,GASKETS,ASHOK LEYLAND,"680/690",PBP,MANIFOLD,"",BANCO,"5360660100PBP"
TALBROS,GASKETS,ASHOK LEYLAND,DOST,FULL GASKET,DYNA SEAL,"",TALBROS,FS3155WOCS
GOETZE,PISTON SET,TATA,CUMMINS,BS II,"","",GOETZE,"05811PPCSDCG00C1"
KAR VALVES,VALVE,CHEVROLET,CHEVROLET,DIESEL,"",STD,KAR VALVES,KV1263-264
USHA,PISTON SET,ASHOK LEYLAND,HINO,HINO BSIII (B PLATFORM),"","",USHA,H17 RCP
TALBROS,GASKETS,MAHINDRA,BOLERO,HEAD GASKET,DYNA SEAL,"",TALBROS,"3101DSX1OS"
SPICER,DIFFERENTIAL,ASHOK LEYLAND,INNER OILSEAL,"","","",SPICER,SAOS2180PI
TIGER POWER,CYLINDER LINER,ASHOK LEYLAND,DOST,SEMI FINISHED,DOST,STD,TIGER POWER,K2001200260
TALBROS,GASKETS,ASHOK LEYLAND,HINO,FULL GASKET,EXCEL,"",TALBROS,FS3088DSXNA
TIGER POWER,CYLINDER LINER,ASHOK LEYLAND,"400",PRE FINISHED,HARDEN,STD,TIGER POWER,K2000202560
TALBROS,GASKETS,TATA,"609/709",FULL GASKET,DYNA SEAL,"",TALBROS,FS609DSXTCCS
RBL,BRAKE LINING,AMW,AMW,REAR 14 HOLES,"","01-Aug",RBL,RBL/AMW/R/2 1/8 RAF7
RBL,BRAKE SHOE,MARUTI,ZEN (BI TYPE),"","","",RBL,RBL/BS/006
BANCO,GASKETS,TATA,CUMMINS BS 3,SYR,VALVE STEM SEALS,"",BANCO,"5220541600SYR"
KSPG,MAIN BEARING,TATA,INDICA,INDICA,"",STD,KSPG,M.119.3.00.003
IPL,PISTON SET,MAHINDRA,MUSTANG,MUSTANG,"","",IPL,"602-K11411W-STD"
BANCO,GASKETS,MAHINDRA TRACTOR,INTERNATIONAL B275,TFX,AXLE BEARING RETAINER INTER,"",BANCO,"5658437906TFX"
BANCO,GASKETS,MARUTI,ZEN-MPFI-NEW MODEL OE DESIGN,GAF,FULL GASKET,"",BANCO,"52313299PSGAF"
BANCO,GASKETS,MASSEY FERGUSON,MF 1035,COPPER / NON ASBESTOS,FULL GASKET,"",BANCO,"5124199910CAC"
BANCO,GASKETS,MAHINDRA TRACTOR,"225 DI (2CYL)",RC,VALVE COVER,"",BANCO,"5658111500RC"
LEYPARTS,FILTERS,ASHOK LEYLAND,"","",OIL FILTER,"",LEYPARTS,F7A01500
USHA,PISTON SET,ASHOK LEYLAND,LEYLAND,"402","","",USHA,"229 RCP"
LEYPARTS,GEAR PARTS,ASHOK LEYLAND,"",BSIII/BSIV,GEAR JOINT ASSY,"",LEYPARTS,B1E02701
TALBROS,GASKETS,TATA,"692",HEAD GASKET,MLS ( STEEL),"",TALBROS,MLS3196
TALBROS,GASKETS,MAHINDRA,DI 3200,FULL GASKET,DYNA SEAL,"",TALBROS,FS3070DSXMDIMK1
KAR VALVES,VALVE,INDUSTRIAL-CUMMINS,K,K,"",STD,KAR VALVES,KV1839
LEYPARTS,FRONT AXLE,ASHOK LEYLAND,"",FA-90 STD,KING PIN BUSH,"",LEYPARTS,F0500342
BIMETAL,CONNECTING BEARING,ASHOK LEYLAND,HINO,HINO (REG),"","30",BIMETAL,CS 183 030
TALBROS,GASKETS,KIRLOSKAR,"6R",HEAD GASKET,EXCEL,"",TALBROS,"3119DSXNA"
BIMETAL,CONNECTING BEARING,ASHOK LEYLAND,HINO,HINO (REG),"","20",BIMETAL,CS 183 020
IPL,PISTON RING SET,ASHOK LEYLAND,HINO,"6 ETI THIN RING","","",IPL,"642-9625V/6-STD"
TALBROS,GASKETS,ASHOK LEYLAND,HINO (TURBO),HEAD GASKET,DYNA SEAL,"",TALBROS,"3088DS"
RBL,DISCPAD,MAHINDRA,SCORPIO,"","","",RBL,RBL/PDP/523
RBL,BRAKE LINING,ASHOK LEYLAND,"6 INCHES",FRONT 10 HOLES,HF7,Jan-32,RBL,AL/TP/SM/7&8 1/32 HF7
IPL,PISTON RING SET,ASHOK LEYLAND,LEYLAND,"401/402","","",IPL,"642-3402-STD"
BANCO,GASKETS,FORD,FIGO / FIESTA,RUB,VALVE COVER,"",BANCO,"5352331500RUB"
TALBROS,GASKETS,MASSEY FERGUSON,MF 135,HEAD GASKET,EXCEL,"",TALBROS,"445DSXNA"
BANCO,GASKETS,SIMPSON,P4,COPPER / NON ASBESTOS,HEAD GASKET,"",BANCO,"5440260003CAC"
KSPG,MAIN BEARING,MAHINDRA,MAXIMO,MAXIMO,"","20",KSPG,M.166.0.00.023
BANCO,GASKETS,TATA,"1613(697) TURBO",BANKITE,FULL GASKET,"",BANCO,"52208199PSBKT"
BANCO,GASKETS,FORD TRACTOR,ESCORT 345,BANKITE,HEAD GASKET,"",BANCO,"53520700PSBKT"
KSPG,MAIN BEARING KIT,MARUTI,"800 (CAR)","800 (CAR)","","10",KSPG,P.110.3.30.013
KSPG,MAIN BEARING,MARUTI,"800 (CAR)","800 (CAR)","","10",KSPG,M.110.3.00.013
BIMETAL,CONNECTING BEARING,ASHOK LEYLAND,LEYLAND,LEYLAND 370,"",STD,BIMETAL,CS 179 STD
IPL,KITSET,TATA,ACE,ACE,"","",IPL,"622-10479L1165/2 STD"
BANCO,GASKETS,SIMPSON,P6,BANKITE,HEAD GASKET,"",BANCO,"5440560000BKT"
KAR VALVES,VALVE,ASHOK LEYLAND,HINO,TURBO,"",STD,KAR VALVES,KV1377-378-4V
KSPG,THRUST WASHER,TATA,"1612(697)","","",OS1,KSPG,PW.217.5.01.423
LEYPARTS,GEARBOX,ASHOK LEYLAND,"",NEEDLE CAGE 5TH GEAR,BEARINGS,"",LEYPARTS,F0267510
BANCO,GASKETS,TATA,"1613(697) TURBO",SNAL,VALVE COVER,"",BANCO,"52208415PSSNAL"
LEYPARTS,CLUTCH,ASHOK LEYLAND,"","15 INCHES",MAJOR KIT,"",LEYPARTS,P0975551
SPICER,CLUTCH PLATE,TATA,"100 SERIES","","","",SPICER,SDUJ0100L126
TALBROS,GASKETS,ASHOK LEYLAND,"680",HALF GASKET,DYNA SEAL,"",TALBROS,HS319DSX
LEYPARTS,GEARBOX,ASHOK LEYLAND,"","1ST GEAR, 39TEETH",MAIN SHAFT GEARS,"",LEYPARTS,F1669011
RBL,BRAKE LINING,ASHOK LEYLAND,"8 INCHES",REAR 12 HOLES,GT11 HLS,"1/16",RBL,AL/TP/HLP/B/10&11 1/16 GT11-HLS
BANCO,GASKETS,ASHOK LEYLAND,"370/411/412 BS II",MRG,VALVE COVER,"",BANCO,"53606420MOMRG"
RBL,DISCPAD,MARUTI,CARRY VAN,"","","",RBL,RBL/DP/061
TALBROS,GASKETS,TATA,IRIS/ZIP,FULL GASKET,DYNA SEAL,"",TALBROS,FS3139WOCS
BANCO,GASKETS,MAHINDRA,MDI 3200,SYR,VALVE COVER,"",BANCO,"5580381500SYR"
BANCO,GASKETS,MAHINDRA TRACTOR,ARJUN,RUB,VALVE COVER,"",BANCO,"5658401500RUB"
KSPG,CONNECTING BEARING,TATA,"407","407","","30",KSPG,B.236.3.00.033
RBL,BRAKE LINING,EICHER,"",FR & RR 12 HOLES,HF7,"2MM",RBL,RBL/T1009TT/1 2MM
KSPG,CONNECTING BEARING,MARUTI,"1000 CC","1000CC","","30",KSPG,B.113.3.00.033
LEYPARTS,SUSPENSION,ASHOK LEYLAND,"",BSIII/BSIV U TRUCK,V ROD ASSY,"",LEYPARTS,B6Y03007
LEYPARTS,ENGINE,ASHOK LEYLAND,"",EXHAUST VALVE SEAT CNG,VALVE SEAT,"",LEYPARTS,F0900312
KSPG,MAIN BEARING,TATA,ACE,ACE,"","40",KSPG,M.155.3.00.043
RBL,BRAKE LINING,MAHINDRA,SCORPIO,SCORPIO,"262",STD,RBL,RBL/SCORPIO/R/L&S STD 262
KSPG,CONNECTING BEARING,TATA,INDICA,INDICA,"","30",KSPG,B.119.4.00.033
LEYPARTS,ENGINE,ASHOK LEYLAND,"",AL ENGINE (STD),MAIN BEARING,"",LEYPARTS,F0218110
LEYPARTS,BRAKE,ASHOK LEYLAND,"",BSII (14 TYRE),BRAKE CHAMBER KIT,"",LEYPARTS,P1017651
BANCO,GASKETS,ASHOK LEYLAND,"370/411/412 BS II",HLT,"","",BANCO,"5360643809HLT"
TALBROS,GASKETS,TATA,"407",HALF GASKET,DYNA SEAL,"",TALBROS,HS3045DSXTC
BANCO,GASKETS,TATA,CUMMINS BS1 / BS2,SAL,TIMING COVER,"",BANCO,"52205337PSSAL"
LEYPARTS,GEARBOX,ASHOK LEYLAND,"","2ND GEAR, 33TEETH",MAIN SHAFT GEARS,"",LEYPARTS,F1614611
KAR VALVES,VALVE,INDUSTRIAL-CUMMINS,NH,NH,"",STD,KAR VALVES,KV1830-2V
KSPG,THRUST WASHER,ISUZU,ISUZU,ISUZU,"","3",KSPG,W.117.0.00.003
BANCO,GASKETS,TATA,"1613(697) TURBO",HTMG,HEAD GASKET,"",BANCO,"52207000HTMG"
RBL,DISCPAD,TOYOTA,INNOVA CRYSTA,"","","",RBL,RBL/DP/066
RBL,DISCPAD,HYUNDAI,SANTRO FACELIFT,"","","",RBL,RBL/DP/004
TALBROS,GASKETS,TATA,"1109",HALF GASKET,DYNA SEAL,"",TALBROS,HS1109DSXTCMK2
BANCO,GASKETS,MAHINDRA TRACTOR,INTERNATIONAL B275,CAS,FULL GASKET,"",BANCO,"5658439910CAS"
BANCO,GASKETS,FORD TRACTOR,"430/435",BANKITE,HEAD GASKET,"",BANCO,"5352170000BKT"
KSPG,MAIN BEARING,TATA,ACE,ACE,"","10",KSPG,M.155.3.00.013
KSPG,VR BUSH,TATA,"1210","1210","",STD,KSPG,V.207.5.00.703
BANCO,GASKETS,ASHOK LEYLAND,BS II,SAL,HEAD GASKET,"",BANCO,"53607300PSSAL"
TALBROS,GASKETS,ASHOK LEYLAND,AL BS II,HALF GASKET,DYNA SEAL,"",TALBROS,HS3104DSX
TIGER POWER,CYLINDER LINER,EICHER,CANTER,SEMI FINISHED,PLAIN,STD,TIGER POWER,K2001300360
LEYPARTS,COOLING SYSTEM,ASHOK LEYLAND,"",TURBO CHARGER KIT E3,HOSES,"",LEYPARTS,P5103891
LEYPARTS,CLUTCH,ASHOK LEYLAND,"","14INCHES, FANTYPE",CLUTCH PLATE,"",LEYPARTS,B1M05203
KSPG,CONNECTING BEARING,TATA,SUMO,SUMO(4DL),"","40",KSPG,B.234.4.00.043
KAR VALVES,VALVE,TATA,TCL,E-II Seat & Stem,"","5",KAR VALVES,KV182310-82410
BANCO,GASKETS,MAHINDRA,AVL 575 DI MILLOR TYPE,BANKITE,HEAD GASKET,"",BANCO,"55803600PSBKT"
RBL,BRAKE LINING,ASHOK LEYLAND,"5 INCHES",FRONT 10 HOLES,HF7,"1/32",RBL,AL/TP/SM/1&2 1/32 HF7
BANCO,GASKETS,MARUTI,K SERIES,BANKITE,HALF GASKET,"",BANCO,"52311898PSBKT"
IPL,VALVE,ASHOK LEYLAND,HINO,"6 DT ( TURBO)","",STD,IPL,"712-VL10402"
RBL,BRAKE SHOE,MARUTI,ALTO & WAGONR (KBX TYPE),"","","",RBL,RBL/BS/016
BANCO,GASKETS,TATA,"608",BANKITE,FULL GASKET,"",BANCO,"52206099PSBKT"
KSPG,CONNECTING BEARING,KIRLOSKAR,RA3,RA3,"",STD,KSPG,B.038.4.00.003
BANCO,GASKETS,MAHINDRA,XDP 3,BAF,HEAD GASKET,"",BANCO,"5580390016BAF"
KSPG,MAIN BEARING,TATA,INDIGO,INDIGO,"",STD,KSPG,M.119.3.30.003
KSPG,MAIN BEARING,TATA,"1210","1210","","20",KSPG,M.207.3.01.023
SETCO,CLUTCH RELEASE BEARING,TATA,"430DIA PRIMA","","","",SETCO,SCRB-9032
LEYPARTS,ENGINE,ASHOK LEYLAND,"",BS2,WATER RAIL,"",LEYPARTS,F1133642
KAR VALVES,VALVE,BAJAJ,MINIDOR,MINIDOR,"",STD,KAR VALVES,KV1849-850
KAR VALVES,VALVE,MARUTI,SUPER,SUPER,"",STD,KAR VALVES,KV1137-138
SPICER,SLIP YOKE,ASHOK LEYLAND,SPL 90 WITH SEAL & CAP,"","","",SPICER,SDSY0090SL160
BIMETAL,CONNECTING BEARING,TATA,CUMMINS,CUMMINS (REG),"","0.5",BIMETAL,CS 5217 050
BANCO,GASKETS,MARUTI,ALTO LX/800,RUB,VALVE COVER,"",BANCO,"5231331500RUB"
LEYPARTS,ENGINE,ASHOK LEYLAND,"",AL ENGINE S1,CONNECTNG BRG,"",LEYPARTS,P2600402
KSPG,MAIN BEARING,TATA,"709","709","","10",KSPG,M.254.4.00.013
TALBROS,GASKETS,TATA,"697",FULL GASKET,DYNA SEAL,"",TALBROS,FS728DSXTCCTCS
KSPG,CONNECTING BEARING,ASHOK LEYLAND,LEYLAND,LEYLAND 370,"","80",KSPG,B.205.3.09.083
IPL,PISTON RING SET,TATA,CUMMINS,BS II & BS III,"","",IPL,"642-3409VQY-STD"
