Category,Sub Category,Vehicle Make,Model,Type,Part,Size,Brand,Item
TALBROS,GASKETS,ASHOK LEYLAND,HINO (NON TURBO),FULL GASKET,EXCEL,"",TALBROS,FS3078DSNA
KSPG,THRUST WASHER,MARUTI,"800 (CAR)","800 (CAR)","",STD,KSPG,W.110.5.00.003
IPL,PISTON SET,TATA,"407","4SP MODIFIED","","",IPL,"602-12192W-STD"
TALBROS,GASKETS,TATA,ACE,HEAD GASKET,EXCEL,"",TALBROS,"3137DSXNA2OS"
TALBROS QHT,TIE ROD,ASHOK LEYLAND,"2214/3516",TIE ROD END (RH),"","",TALBROS QHT,TRE07010R
BANCO,GASKETS,MAHINDRA TRACTOR,"265/275 DI (3 CYL)",BANKITE,HEAD GASKET,"",BANCO,"56581500PSBKT"
IPL,VALVE,TATA,CUMMINS,BS III,"","10",IPL,"712-VT10212-010"
LEYPARTS,SUSPENSION,ASHOK LEYLAND,"",RH,V ROD MOUNTING BRACKET,"",LEYPARTS,F3H00812
BANCO,GASKETS,CHEVROLET,OPTRA1.6/AVEO (PETROL)4CYL,MLS(STEEL),HEAD GASKET,"",BANCO,"5340270000MLS"
BANCO,GASKETS,TATA,INDICA DIESEL,BAF,HEAD GASKET,"",BANCO,"5220420018BAF"
TIGER POWER,CYLINDER LINER,TATA,"1612(97MM)",SEMI FINISHED,THIN COLLAR,"60TH",TIGER POWER,K2007700261
BANCO,GASKETS,MAHINDRA,PEUGEOT XDP-4,BANKITE,HEAD GASKET,"",BANCO,"55803300PSBKT"
KSPG,CONNECTING BEARING,ASHOK LEYLAND,LEYLAND,LEYLAND 370,"","30",KSPG,B.205.4.09.033
BIMETAL,MAIN BEARING,TATA,"1612(697)","1612(697)","","10",BIMETAL,MS 2757 010
IPL,PISTON RING SET,ASHOK LEYLAND,HINO,"6 DTI (THICK RING 4 CYL)","","",IPL,"642-9214VQY/4-STD"
BANCO,GASKETS,MARUTI,WAGON R/ALTO LX,BANKITE,FULL GASKET,"",BANCO,"52313199PSBKT"
GOETZE,RING SET,TATA,CUMMINS,BSII & BSIII CKS,"","",GOETZE,"5327CKS-SD"
BANCO,GASKETS,TATA,INDICA DIESEL,BAF,HEAD GASKET,"",BANCO,"5220420020BAF"
BANCO,GASKETS,TATA,"709 / 1109 TURBO",HTMG,HEAD GASKET,"",BANCO,"52204900HTMG"
TIGER POWER,CYLINDER LINER,ASHOK LEYLAND,HINO,PRE FINISHED,Z GOLD,STD,TIGER POWER,K2009502460
BANCO,GASKETS,"",METADOR 305,BEK,HALF GASKET,"",BANCO,"51313198PSBEK"
KSPG,CONNECTING BEARING,ATLAS COPCO,ATLAS COPCO,COPCO ( CR BRG),"","40",KSPG,H.700.3.00.043
RBL,BRAKE SHOE,ASHOK LEYLAND,DOST,"","","",RBL,RBL/BS/074
SETCO,FLYWHEEL,EICHER,"430DIA","137T","","",SETCO,SF-10002
KAR VALVES,VALVE,VOLKSWAGEN,VENTO/POLO,"","",STD,KAR VALVES,KV1279-280-8V
TALBROS,GASKETS,TATA,CUMMINS 6CT,HALF GASKET,DYNA SEAL,"",TALBROS,HS3117SBG
MAHLE,CAMSHAFT,TATA,CUMMINS,BSII,"","",MAHLE,"770CA40057000"
IPL,PISTON RING SET,TATA,AIR COMPRESSOR,"77MM 005","","",IPL,"642-9450-005"
KSPG,MAIN BEARING,TOYOTA,INNOVA,INNOVA,"",STD,KSPG,M.746.3.00.003
BANCO,GASKETS,TATA,"1210",BANKITE,VALVE COVER,"",BANCO,"52206215PSBKT"
BANCO,GASKETS,TATA,"407 TURBO",BANKITE,FULL GASKET,"",BANCO,"5220409930PBKT"
RBL,BRAKE LINING,ASHOK LEYLAND,"6 INCHES",FRONT 10 HOLES,GT11 HLS,STD,RBL,AL/TP/HLP/7&8 STD
IPL,PISTON SET,TATA,"609/709","609/709","","",IPL,"602-12191W-STD"
KSPG,MAIN & CR BRG,MARUTI,"800 (CAR)","800 (CAR)","","10",KSPG,P.110.3.00.013
LEYPARTS,GEARBOX,ASHOK LEYLAND,"","8 SPEED",MAIN SHAFT,"",LEYPARTS,F3321511
TALBROS,GASKETS,TATA,"407",HALF GASKET,DYNA SEAL,"",TALBROS,HS3045DSXTCMK2
KSPG,CONNECTING BUSH,ASHOK LEYLAND,LEYLAND,"","",STD,KSPG,PS.205.5.00.703
KAR VALVES,VALVE,TATA,TCL,E-II Seat & Stem,"","15",KAR VALVES,KV18191550-8201550
IPL,PISTON RING SET,ASHOK LEYLAND,LEYLAND,"400","","",IPL,"642-8874-STD"
IPL,PISTON RING SET,TATA,"697","697 ( IMRT)","","",IPL,"642-9515VQY/6-STD"
IPL,KITSET,TATA,ACE,MODIFIED KIT,"","",IPL,"622-104799862QL1165/2-STD"
BANCO,GASKETS,"",METADOR 305,RC,CHAMBER PACKING,"",BANCO,"5131261009RC"
LEYPARTS,GEARBOX,ASHOK LEYLAND,"","5 & 6 SPEED",MAIN SHAFT,"",LEYPARTS,F3309611
LEYPARTS,COOLANT TANK,ASHOK LEYLAND,"",DEAERATION TANK,DEAERATION TANK,"",LEYPARTS,X1006700
BANCO,GASKETS,SIMPSON,S3/241,GAF,FULL GASKET,"",BANCO,"54401899PSGAF"
TIGER POWER,CYLINDER LINER,TATA,CUMMINS,SEMI FINISHED,COLLAR,"60TH",TIGER POWER,K2005600266
TIGER POWER,KITSET,MARUTI,SWIFT,SWIFT DESIRE,"","",TIGER POWER,A2001000260
KSPG,MAIN BEARING,KIRLOSKAR,HA 494,HA 494,"",STD,KSPG,M.074.4.00.003
BIMETAL,CONNECTING BEARING,TATA,"1612(697)","1612(697)","","10",BIMETAL,CS 2750 010
BANCO,GASKETS,MARUTI,ZEN-MPFI-NEW MODEL OE DESIGN,GAF,HEAD GASKET,"",BANCO,"52313200PSGAF"
KSPG,CONNECTING BEARING,HYUNDAI,I10/I20,I10/I20,"",STD,KSPG,B.477.0.00.003
ANHAD,HYDRAULIC JACK,"","100 TON","","","",ANHAD,"00AH127"
SVL,UJ KIT,"","","","","",SVL,LU32UTT00500
KAR VALVES,VALVE,"",JOHNDEERE,JOHN DEERE,"","3",KAR VALVES,KV1645-646-3
KSPG,MAIN BEARING,TATA,"1612(697)","1612(697)","","30",KSPG,M.217.4.00.033
RBL,DISCPAD,ASHOK LEYLAND,DOST,"","","",RBL,RBL/DP/010 R812M
BANCO,GASKETS,MAHINDRA,AVL 575 DI,BANKITE,HEAD GASKET,"",BANCO,"55803400PSBKT"
KAR VALVES,VALVE,MARUTI,ZEN,PETROL,"",STD,KAR VALVES,KV1163-164
TALBROS,GASKETS,PERKINS,P3,FULL GASKET,DYNA SEAL,"",TALBROS,FSIA467AMK1
KAR VALVES,VALVE,KIRLOSKAR,RBV/SARTAJ,RBV/SARTAJ,"",STD,KAR VALVES,KV1835-836
TALBROS,GASKETS,ASHOK LEYLAND,"402/411",FULL GASKET,DYNA SEAL,"",TALBROS,FS390DSXE
TIGER POWER,CYLINDER LINER,MARUTI,SWIFT,SEMI FINISHED,PETROL,STD,TIGER POWER,K2013100160
BANCO,GASKETS,TATA,"407 NON TURBO",PAP,GEAR BOX KIT,"",BANCO,"5220449600PAP"
TALBROS,GASKETS,FORD TRACTOR,"3000/3600",HEAD GASKET,DYNA SEAL,"",TALBROS,SB2A658XC
SVL,UJ KIT,"","","","","",SVL,LU32UTT02600
KSPG,CONNECTING BEARING,ESCORT FORD,ESCORT FORD,ESCORT FORD,"","10",KSPG,B.302.3.00.013
SETCO,UJCROSS,TATA,"10TYRE","","","41.28X126",SETCO,SC-9002
BANCO,GASKETS,TATA,CUMMINS BS1 / BS2,PQB,UPPER SET,"",BANCO,"5220529820PQB"
BANCO,GASKETS,HYUNDAI,ELANTRA (DIESEL,RUB,VALVE COVER,"",BANCO,"5224321500RUB"
IPL,PISTON RING SET,ASHOK LEYLAND,HINO,"200HP BSVI","","",IPL,"642-9610P/6-STD"
BANCO,GASKETS,SIMPSON,S4,COPPER / NON ASBESTOS,FULL GASKET,"",BANCO,"5440299900CAC"
BANCO,GASKETS,CHEVROLET,BEAT DIESEL,MLS(STEEL),HEAD GASKET,"",BANCO,"5340150000MLS"
BANCO,GASKETS,SIMPSON,S4,COPPER / NON ASBESTOS,HEAD GASKET,"",BANCO,"5440290000CAC"
RBL,DISCPAD,MARUTI,ALTO,"","","",RBL,RBL/PDP/505
TALBROS,GASKETS,ASHOK LEYLAND,IVECO,FULL GASKET,DYNA SEAL (3CUT),"",TALBROS,FS3072DSX2OS
RBL,DISCPAD,TOYOTA,FORTUNER,"","","",RBL,RBL/PDP/531
TALBROS,GASKETS,MARUTI,"800",FULL GASKET,DYNA SEAL,"",TALBROS,FS3040DSXWOS
RBL,BRAKE LINING,ASHOK LEYLAND,"8 INCHES",REAR 10 HOLES,GT11 HLS,Jan-16,RBL,AL/TP/HLP/A/10&11 1/16
SUPER PAC,VALVE STEM SEALS,TATA,CUMMINS BSIII,"","","",SUPER PAC,VSS082224V
BANCO,GASKETS,SIMPSON,S3/241,BAF,HALF GASKET,"",BANCO,"54401898PSBAF"
BANCO,GASKETS,MASSEY FERGUSON,MF 135,HLT,TIMING COVER,"",BANCO,"5124223600HLT"
KSPG,MAIN BEARING,TATA,INDICA,INDICA,"","30",KSPG,M.119.3.00.033
KAR VALVES,VALVE,TATA,TCL,E-II Seat & Stem,"","3",KAR VALVES,KV1819010-820010
TALBROS,GASKETS,EICHER,JUMBO (6CYL),HEAD GASKET,EXCEL,"",TALBROS,"3122DSXNA"
TIGER POWER,CYLINDER LINER,BAJAJ,DIESEL,SEMI FINISHED,GOLD,"40TH",TIGER POWER,K200080064G
BANCO,GASKETS,MAHINDRA TRACTOR,INTERNATIONAL B275,BANKITE,MANIFOLD,"",BANCO,"5658430220BKT"
RBL,DISCPAD,HYUNDAI,I20 DIESEL,"","","",RBL,RBL/DP/059
KSPG,CAM BUSH,TATA,"1612(697)","","",STD (UB),KSPG,PC.217.7.18.703
IPL,PISTON SET,KIRLOSKAR,"4R 1040 NA","4R 1040 NA","","",IPL,"602-13220W-STD"
BANCO,GASKETS,MAHINDRA,SCORPIO CRDE,RUB,VALVE COVER,"",BANCO,"5580401500RUB"
KSPG,MAIN BEARING,ASHOK LEYLAND,HINO,HINO (REG),"","20",KSPG,M.241.4.00.023
KSPG,MAIN BEARING,TATA,"407","407","","20",KSPG,M.236.3.00.023
LEYPARTS,FILTERS,ASHOK LEYLAND,"","500ML (COIL)",DIESEL FILTER,"",LEYPARTS,F4003300
KSPG,CAM BUSH,CHEVROLET,TAVERA,TAVERA,"",STD,KSPG,C.154.0.00.703
SETCO,UJCROSS,MAHINDRA,JEEP & MARSHAL,"","","27X81.8",SETCO,SC-6002
IPL,VALVE,TATA,CUMMINS,BS III,"","15",IPL,"712-VT10212-015"
TIGER POWER,CYLINDER LINER,ASHOK LEYLAND,"400",PRE FINISHED,EURO TC/AC,STD,TIGER POWER,K2000203181
TALBROS,GASKETS,MARUTI,"800",FULL GASKET,DYNA SEAL,"",TALBROS,FSMIA3040
RBL,BRAKE LINING,EICHER,Oct-95,FR & RR 12 HOLES,HF7,STD,RBL,RBL/T909-EX/1 STD HF7
BIMETAL,CONNECTING BEARING,ASHOK LEYLAND,HINO,HINO BSIII/IV,"",STD,BIMETAL,CS 191 STD
LEYPARTS,CLUTCH,ASHOK LEYLAND,"",BSIII/BSIV ECOMET (330DIA),CLUTCH PLATE,"",LEYPARTS,B1M00702
KSPG,MAIN BEARING,MAHINDRA,PEUGEOT,PEUGEOT,"","50",KSPG,M.221.3.00.053
RBL,BRAKE LINING,EICHER,Oct-90,FR & RR 12 HOLES,RD3205M,"",RBL,RBL/EC/11-10/1 1/16 RD3205M
KSPG,CONNECTING BEARING,TATA,INDICA,INDICA,"",STD,KSPG,B.156.4.00.003
TALBROS,GASKETS,CHEVROLET,TAVERA,HEAD GASKET,MLS ( STEEL),"",TALBROS,MLS3110
TALBROS,GASKETS,TATA,"1613",HALF GASKET,EXCEL,"",TALBROS,HS1613DSXNATCBS2
BANCO,GASKETS,MARUTI,WAGON R/ALTO LX,BANKITE,HEAD GASKET,"",BANCO,"52313100PSBKT"
LEYPARTS,FILTERS,ASHOK LEYLAND,"",BSII/BSIII/BSIV,FUEL STRAINER,"",LEYPARTS,F8824500
TALBROS,GASKETS,TATA,INDIGO,FULL GASKET,DYNA SEAL,"",TALBROS,FS3164WOCS
KSPG,CONNECTING BUSH,TATA,INDICA,"","",STD,KSPG,PS.119.5.00.703
TALBROS QHT,BALL & SOCKET JOINT,TATA,"1516","","","",TALBROS QHT,BJ01001SMR
KAR VALVES,VALVE,MAHINDRA,PEUGEOT,XD3P,"",STD,KAR VALVES,KV1201-202
BANCO,GASKETS,MAHINDRA TRACTOR,INTERNATIONAL B275,MVR,VALVE COVER,"",BANCO,"5658431515MVR"
BANCO,GASKETS,TATA,"1612",AST,WATER PUMP SET,"",BANCO,"522069VP10AST"
KAR VALVES,VALVE,EICHER,JUMBO,"8 V","",STD,KAR VALVES,KV1569-570
LEYPARTS,FRONT AXLE,ASHOK LEYLAND,"",FA-90 OS1 (TP),KING PIN KIT,"",LEYPARTS,P5104847
